vessel_id,type,teu,arrival_time,entry_permit_time,weather_delay_entry_hrs,berth_wait_time_hrs,weather_delay_berthing_hrs,berth_start_time,berth_end_time,cargo_ops_weather_delay_hrs,departure_time,total_time_hrs,berth_time_hrs,total_weather_delay_hrs
V_9,Container_Panamax,4638.830383395961,8.980155207639221,8.980155207639221,0.0,0.0,0.0,10.480155207639221,56.86845904159883,0.0,58.36845904159883,49.38830383395961,46.38830383395961,0.0
V_14,Container_Panamax,4480.132440187541,11.899019570566558,11.899019570566558,0.0,0.0,0.0,13.399019570566558,58.200343972441964,0.0,59.700343972441964,47.801324401875405,44.801324401875405,0.0
V_17,Container_Panamax,4453.212136018948,14.588115814713115,14.588115814713115,0.0,0.0,0.0,16.088115814713113,60.62023717490259,0.0,62.12023717490259,47.53212136018948,44.53212136018948,0.0
V_11,Container_Panamax,5579.161723681307,10.211931546624866,10.211931546624866,0.0,0.0,0.0,11.711931546624866,67.50354878343794,0.0,69.00354878343794,58.79161723681307,55.79161723681307,0.0
V_25,Container_Panamax,4459.929113670256,24.008550673748662,24.008550673748662,0.0,0.0,0.0,25.508550673748662,70.10784181045122,0.0,71.60784181045122,47.59929113670256,44.59929113670256,0.0
V_10,Container_Panamax,5869.845293344523,10.059925828385321,10.059925828385321,0.0,0.0,0.0,11.559925828385321,70.25837876183056,0.0,71.75837876183056,61.69845293344524,58.69845293344524,0.0
V_20,Container_Panamax,5542.252516140147,19.410348976048432,19.410348976048432,0.0,0.0,0.0,20.910348976048432,76.33287413744989,0.0,77.83287413744989,58.42252516140146,55.42252516140146,0.0
V_34,Container_Panamax,4530.4131190939315,38.250781192256376,38.250781192256376,0.0,0.0,0.0,39.750781192256376,85.05491238319568,0.0,86.55491238319568,48.30413119093931,45.30413119093931,0.0
V_37,Container_Panamax,4752.1518843519425,41.1840249931775,41.1840249931775,0.0,0.0,0.0,42.6840249931775,90.20554383669693,0.0,91.70554383669693,50.52151884351943,47.52151884351943,0.0
V_40,Container_Panamax,4987.547036893958,42.763863924719445,42.763863924719445,0.0,0.0,0.0,44.263863924719445,94.13933429365902,0.0,95.63933429365902,52.875470368939574,49.875470368939574,0.0
