vessel_id,type,teu,arrival_time,entry_permit_time,weather_delay_entry_hrs,berth_wait_time_hrs,weather_delay_berthing_hrs,berth_start_time,berth_end_time,cargo_ops_weather_delay_hrs,departure_time,total_time_hrs,berth_time_hrs,total_weather_delay_hrs
V_11,Container_Panamax,4556.146988653293,20.498637349046952,20.498637349046952,0.0,0.0,0.0,21.998637349046952,68.56010723557989,1.0,70.06010723557989,49.56146988653294,46.56146988653294,1.0
V_10,Container_Panamax,5231.13713389061,17.55772056070733,17.55772056070733,0.0,0.0,0.0,19.05772056070733,72.36909189961344,1.0,73.86909189961344,56.311371338906106,53.311371338906106,1.0
V_19,Container_Panamax,5621.383848957868,34.091194201069065,34.091194201069065,0.0,0.0,0.0,35.591194201069065,92.80503269064775,1.0,94.30503269064775,60.213838489578684,57.213838489578684,1.0
V_2,Container_PostPanamax,8537.300710169895,9.672448307775682,9.672448307775682,0.0,0.0,0.0,11.172448307775682,97.54545540947463,1.0,99.04545540947463,89.37300710169895,86.37300710169895,1.0
V_25,Container_Panamax,5438.132234851995,43.786674269091684,43.786674269091684,0.0,0.0,0.0,45.286674269091684,99.66799661761164,0.0,101.16799661761164,57.38132234851995,54.38132234851995,0.0
V_5,Container_PostPanamax,8689.127334979845,12.710003357791479,12.710003357791479,0.0,0.0,0.0,14.210003357791479,102.10127670758993,1.0,103.60127670758993,90.89127334979845,87.89127334979845,1.0
V_9,Container_PostPanamax,8928.849164667756,16.752876026298328,16.752876026298328,0.0,0.0,0.0,18.252876026298328,108.54136767297588,1.0,110.04136767297588,93.28849164667756,90.28849164667756,1.0
V_3,Container_PostPanamax,9818.209681383038,11.833460840442157,11.833460840442157,0.0,0.0,0.0,13.333460840442157,112.51555765427253,1.0,114.01555765427253,102.18209681383037,99.18209681383037,1.0
V_6,Container_PostPanamax,9792.771620166646,13.099880361395135,13.099880361395135,0.0,0.0,0.0,14.599880361395135,113.52759656306159,1.0,115.02759656306159,101.92771620166646,98.92771620166646,1.0
V_36,Container_Panamax,5334.423620725579,59.46571457634223,59.46571457634223,0.0,0.0,0.0,60.96571457634223,114.30995078359803,0.0,115.80995078359803,56.3442362072558,53.3442362072558,0.0
V_8,Container_PostPanamax,10093.579025528024,14.726540381974136,14.726540381974136,0.0,0.0,0.0,16.226540381974136,118.16233063725437,1.0,119.66233063725437,104.93579025528024,101.93579025528024,1.0
V_48,Container_Panamax,5067.766281043319,71.83304709173059,72.83304709173059,1.0,0.0,0.0,74.33304709173059,125.01070990216378,0.0,126.51070990216378,54.67766281043319,50.67766281043319,1.0
V_43,Container_Panamax,5628.665121275866,67.93928264793462,67.93928264793462,0.0,0.0,0.0,69.43928264793462,125.72593386069329,0.0,127.22593386069329,59.28665121275867,56.28665121275867,0.0
