,state,wind_speed_knots,visibility_nm,precipitation_mmhr,wave_height_m,wind_direction_deg
2023-01-01 00:00:00,Clear,4.950726356854213,9.912644353074171,0.0,0.36386193659180477,270
2023-01-01 01:00:00,Clear,5.394664432006062,9.309863566751629,0.0,0.4102267060404243,270
2023-01-01 02:00:00,Clear,3.3555975808846075,9.978493955638069,0.0,0.700904338253201,225
2023-01-01 03:00:00,Clear,4.239369273884619,9.686718073708139,0.0,0.6023034831207055,225
2023-01-01 04:00:00,Clear,5.210674571349171,8.5321436878498,0.0,0.5744227959318867,315
2023-01-01 05:00:00,Clear,1.992098088296514,9.76214790337232,0.0,0.4667281039683393,225
2023-01-01 06:00:00,Clear,1.7057583797305194,9.574914247352789,0.0,0.5405075427654208,270
2023-01-01 07:00:00,Clear,0.7241879617379408,9.606119965091926,0.0,1.3262696079034861,270
2023-01-01 08:00:00,Clear,4.626782420942706,9.254302152129819,0.0,1.4226335790648896,225
2023-01-01 09:00:00,Clear,0.9172451072451586,9.230512441709651,0.0,0.6430649872743655,270
2023-01-01 10:00:00,Clear,2.209979219178952,9.787643373489466,0.0,0.6182317104589877,270
2023-01-01 11:00:00,Clear,2.6965809027973733,9.193870332440495,0.0,0.6927847264081975,225
2023-01-01 12:00:00,Clear,1.5893050127945216,9.562845854464662,0.0,0.377046644939316,270
2023-01-01 13:00:00,Clear,0.804657075487482,9.657710911379489,0.0,0.8892500817044238,180
2023-01-01 14:00:00,Clear,5.331037545100027,9.949924675363862,0.0,0.5467847035362835,0
2023-01-01 15:00:00,Clear,6.131078142842731,9.889774165607122,0.0,0.39338825960030055,270
2023-01-01 16:00:00,Clear,0.6911911632624785,9.866600023563617,0.0,0.30729474147145597,270
2023-01-01 17:00:00,Clear,3.0327229367249933,9.51834361744654,0.0,0.4835109195887532,225
2023-01-01 18:00:00,Rain,3.3786259690107614,5.846580973892089,3.257828052186793,1.6097688624218751,270
2023-01-01 19:00:00,Rain,4.412898147901801,7.054869178572222,2.0461345824772743,1.0548622758283508,225
2023-01-01 20:00:00,Rain,5.356006396579875,7.4135365986,1.890390234943377,2.0547317481433764,180
2023-01-01 21:00:00,Rain,6.293041765564005,7.860003046583824,2.1488516666078628,0.3273794675378107,315
2023-01-01 22:00:00,Clear,4.053667785972684,9.815612121874063,0.0,0.4905481330609131,0
2023-01-01 23:00:00,Rain,6.794777707082072,8.683411488349108,3.525982768284636,0.7283890706952832,270
2023-01-02 00:00:00,Rain,0.8767089288912541,8.324812171727846,0.25801906400628327,0.6655926398472244,270
2023-01-02 01:00:00,Rain,3.74041482806407,8.222396070130266,5.369380996497875,1.2009553895139278,225
2023-01-02 02:00:00,ModerateWind,8.097412254906775,9.57235654385608,0.0,1.6756696616101563,315
2023-01-02 03:00:00,ModerateWind,21.807649433488354,9.522017944420975,0.0,2.0379838011835423,270
2023-01-02 04:00:00,ModerateWind,11.34058640744813,9.264127356111205,0.0,2.1335471628591036,180
2023-01-02 05:00:00,Clear,3.7342819777398026,9.040392301891174,0.0,0.5410128429270998,270
2023-01-02 06:00:00,Clear,2.014699171581179,9.692155165610055,0.0,0.31901967099688855,0
2023-01-02 07:00:00,Clear,4.969662307796398,9.284893358232761,0.0,0.6668436142856893,315
2023-01-02 08:00:00,Clear,11.288889766073188,9.12960372674624,0.0,0.6730731556149631,270
2023-01-02 09:00:00,Clear,1.240055837682893,9.944453381625912,0.0,0.21910075708868493,225
2023-01-02 10:00:00,Clear,5.473254549268188,8.468250801120591,0.0,0.5136162489550975,270
2023-01-02 11:00:00,Clear,3.4880220634917123,9.975892106337097,0.0,0.5667477652555394,0
2023-01-02 12:00:00,ModerateWind,8.246112983664926,8.390347704103652,0.0,1.5762769461648407,315
2023-01-02 13:00:00,HighWind,22.004995523142984,9.31138278771494,0.0,2.220065796176881,90
2023-01-02 14:00:00,HighWind,48.31744336927557,8.780711497736,0.0,2.5993998757902106,90
2023-01-02 15:00:00,HighWind,20.679450840360712,8.999044782002123,0.0,3.9875223274156184,0
2023-01-02 16:00:00,HighWind,31.2918044891752,8.399917176827701,0.0,4.796389124376858,90
2023-01-02 17:00:00,HighWind,38.80831321342048,7.8925636119810685,0.0,1.594001964796263,315
2023-01-02 18:00:00,Rain,7.032482849051443,5.619585360984151,0.02087495108235412,1.2493344318114015,315
2023-01-02 19:00:00,Clear,3.9684216552173455,9.890941042891287,0.0,0.8397515436409254,315
2023-01-02 20:00:00,Clear,0.32860450214975473,9.338508005850896,0.0,0.4497113774606262,270
2023-01-02 21:00:00,Clear,3.8821752028230336,9.437718910588705,0.0,0.9709607922620606,270
2023-01-02 22:00:00,Clear,1.4691335690329645,9.701402023588606,0.0,0.3268259601915708,225
2023-01-02 23:00:00,Clear,2.7674034414752384,9.71399249324498,0.0,0.5160639358961489,225
2023-01-03 00:00:00,Clear,1.1344734691634826,9.982385340372415,0.0,0.36995674844425236,315
2023-01-03 01:00:00,Clear,4.02507894199346,9.587220508502128,0.0,1.2578772893576033,315
2023-01-03 02:00:00,Clear,7.469095828823458,9.390955435145937,0.0,0.594290744198265,225
2023-01-03 03:00:00,Clear,2.622161730668976,9.95313971460577,0.0,0.7470003225716978,270
2023-01-03 04:00:00,Clear,8.23589136644302,9.264226656955938,0.0,0.44440534735612824,315
2023-01-03 05:00:00,Clear,6.7436747038157785,8.021102882901323,0.0,1.0274164735407822,225
2023-01-03 06:00:00,Fog,1.9587685689932688,0.3696867975601198,0.0,0.512795724139474,180
2023-01-03 07:00:00,Fog,0.3440860077448943,0.0001812794188032821,0.0,0.3847217411691465,270
